-6.82	32.08
-6.97	38.97
-0.38	45.07
-0.68	50.43
-1.07	57.49
-1.33	63.02
-1.74	68.55
-2.25	75.58
-2.67	80.97
-9.92	86.14
-10.62	92.96
-10.95	98.42
-18.12	97.98
-17.78	92.48
-17.35	85.71
-31.67	84.85
-32.09	91.65
-39.35	91.23
-38.91	84.05
-47.53	83.49
-47.99	90.69
-54.92	90.25
-54.48	83.08
-61.39	82.61
-61.85	89.81
-69.27	89.38
-68.82	82.19
-68.5	76.82
-61.12	77.25
-54.15	77.68
-68.18	71.41
-60.79	71.85
-67.74	64.25
-60.36	64.72
-60.04	59.12
-67.38	58.68
-67.1	53.51
-59.92	53.97
-66.67	46.25
-59.48	46.69
-52.31	47.15
-52.02	42.04
-51.68	36.45
-44.45	36.85
-36.07	37.37
-28.78	37.57
-21.62	37.99
-76.2	81.72
-75.89	76.38
-82.87	75.93
-83.19	81.38
-97.34	80.49
-104.71	80.02
-105.16	87.15
-112.34	86.69
-119.51	86.25
-126.69	85.79
-126.23	78.69
-119.08	79.15
-111.89	79.57
-111.56	74.16
-118.76	73.75
-118.42	68.36
-125.56	67.89
-111.21	68.78
-110.78	61.59
-117.98	61.18
-125.12	60.71
-124.78	55.11
-117.62	55.525
-110.43	55.97
-110.11	50.81
-117.33	50.41
-124.48	49.96
-124.01	42.82
-116.87	43.25
-109.67	43.65
-109.33	38.25
-116.52	37.86
-123.68	37.38
-123.34	32.03
-116.18	32.49
-108.99	32.89
-108.55	25.78
-115.74	25.28
-122.9	24.85
-115.38	19.72
-108.15	20.16
-107.87	14.97
-107.42	7.85
-114.59	7.39
-121.75	6.91
-93.52	15.88
-86.36	16.39
-86.71	21.59
-93.86	21.09
-94.26	26.67
-94.75	33.81
-87.53	34.3
-87.06	27.16
-80.3	34.75
-79.83	27.62
-73.18	35.21
-72.71	28.08
-65.54	28.5325
-66.01	35.67
-141.03	84.92
-140.57	77.82
-155.02	76.92
-155.47	84.08
-163.1	83.61
-162.66	76.45
-170.15	76.02
-170.59	83.16
-178.06	82.72
-177.63	75.58
-185.11	75.14
-185.55	82.28
-193.03	81.85
-192.59	74.69
-200.07	74.27
-200.52	81.42
-208.14	80.95
-207.71	73.79
-214.89	73.38
-215.33	80.54
-222.5	80.14
-222.08	72.98
-229.69	79.69
-236.44	72.15
-243.63	71.69
-250.81	71.26
-251.24	78.41
-258.42	78.01
-257.99	70.9
-265.38	70.35
-265.77	77.61
-272.82	77.21
-272.38	69.96
-279.57	69.52
-279.98	76.82
-287.02	76.41
-286.55	69.16
-295.14	68.79
-295.55	75.95
-309.92	75.11
-309.49	68.31
-310.31	80.52
-317.39	80.15
-324.58	79.75
-324.25	74.35
-317.07	74.75
-316.68	67.88
-324.06	67.43
-330.72	61.42
-330.47	56.06
-330.09	48.98
-329.74	43.45
-329.48	37.95
-329.08	30.91
-328.75	25.5
-321.48	20.28
-320.89	13.38
-306.48	14.22
-306.92	21.02
-299.78	21.42
-292.51	21.82
-292.15	14.82
-283.75	15.35
-284.15	22.21
-276.95	22.61
-276.56	15.69
-269.19	16.08
-269.7	22.92
-262.59	23.32
-255.45	23.65
-255.03	16.88
-247.82	17.28
-248.18	24.19
-241.02	24.55
-241.32	30.15
-241.97	42.77
-242.25	48.22
-242.58	53.58
-242.99	60.85
-243.33	66.25
