PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
128,0,0,0,92.73,-10.01,0,0,0,0
129,0,0,0,94.21,-10.09,0,0,0,0
130,0,0,0,53.15,-52.16,0,0,0,0
131,0,0,0,53.12,-52.9,0,0,0,0
132,0,0,0,50.62,-52.78,0,0,0,0
133,0,0,0,50.71,-51.29,0,0,0,0
134,0,0,0,50.59,-52.75,0,0,0,0
135,0,0,0,48.12,-52.63,0,0,0,0
136,0,0,0,48.21,-51.17,0,0,0,0
137,0,0,0,45.89,-51.01,0,0,0,0
138,0,0,0,45.82,-52.56,0,0,0,0
139,0,0,0,43.34,-52.44,0,0,0,0
140,0,0,0,43.41,-51.33,0,0,0,0
141,0,0,0,38.29,-50.69,0,0,0,0
142,0,0,0,36.13,-50.58,0,0,0,0
143,0,0,0,36.25,-48.08,0,0,0,0
144,0,0,0,38.23,-48.18,0,0,0,0
145,0,0,0,36.26,-48.04,0,0,0,0
146,0,0,0,36.41,-45.56,0,0,0,0
147,0,0,0,37.2,-45.62,0,0,0,0
148,0,0,0,38.28,-44.1,0,0,0,0
149,0,0,0,36.54,-43.99,0,0,0,0
150,0,0,0,36.68,-41.53,0,0,0,0
151,0,0,0,38.44,-41.63,0,0,0,0
152,0,0,0,36.67,-41.53,0,0,0,0
153,0,0,0,36.78,-39.02,0,0,0,0
154,0,0,0,38.38,-39.1,0,0,0,0
155,0,0,0,36.82,-39.05,0,0,0,0
156,0,0,0,37,-36.53,0,0,0,0
157,0,0,0,38.31,-36.6,0,0,0,0
158,0,0,0,38.54,-35.58,0,0,0,0
159,0,0,0,37.02,-35.48,0,0,0,0
160,0,0,0,37.12,-32.99,0,0,0,0
161,0,0,0,38.65,-33.07,0,0,0,0
162,0,0,0,37.11,-32.97,0,0,0,0
163,0,0,0,37.25,-30.46,0,0,0,0
164,0,0,0,38.6,-30.54,0,0,0,0
165,0,0,0,39,-27.81,0,0,0,0
166,0,0,0,37.43,-27.72,0,0,0,0
167,0,0,0,37.63,-25.22,0,0,0,0
168,0,0,0,39.16,-25.31,0,0,0,0
169,0,0,0,37.63,-25.21,0,0,0,0
170,0,0,0,37.81,-22.7,0,0,0,0
171,0,0,0,39.19,-22.81,0,0,0,0
172,0,0,0,39.19,-20.46,0,0,0,0
173,0,0,0,37.93,-20.41,0,0,0,0
174,0,0,0,38.01,-17.86,0,0,0,0
175,0,0,0,39.33,-17.92,0,0,0,0
176,0,0,0,38.03,-17.85,0,0,0,0
177,0,0,0,38.13,-15.38,0,0,0,0
178,0,0,0,39.33,-15.45,0,0,0,0
179,0,0,0,39.68,-12.49,0,0,0,0
180,0,0,0,38.3,-12.4,0,0,0,0
181,0,0,0,38.48,-9.9,0,0,0,0
182,0,0,0,39.84,-10,0,0,0,0
183,0,0,0,38.48,-9.92,0,0,0,0
184,0,0,0,38.65,-7.48,0,0,0,0
185,0,0,0,39.23,-7.52,0,0,0,0
186,0,0,0,91.23,-55.97,0,0,0,0
187,0,0,0,89.88,-55.88,0,0,0,0
188,0,0,0,89.66,-58.37,0,0,0,0
189,0,0,0,91.15,-58.47,0,0,0,0
190,0,0,0,89.67,-58.39,0,0,0,0
191,0,0,0,89.52,-60.89,0,0,0,0
192,0,0,0,90.8,-60.93,0,0,0,0
193,0,0,0,91.01,-63.69,0,0,0,0
194,0,0,0,89.3,-63.57,0,0,0,0
195,0,0,0,89.15,-66.05,0,0,0,0
196,0,0,0,90.88,-66.16,0,0,0,0
197,0,0,0,89.16,-66.1,0,0,0,0
198,0,0,0,89.03,-68.56,0,0,0,0
199,0,0,0,90.49,-68.66,0,0,0,0
200,0,0,0,90.12,-70.03,0,0,0,0
201,0,0,0,88.94,-69.94,0,0,0,0
202,0,0,0,88.77,-72.44,0,0,0,0
203,0,0,0,90.09,-72.53,0,0,0,0
204,0,0,0,88.79,-72.44,0,0,0,0
205,0,0,0,88.6,-74.95,0,0,0,0
206,0,0,0,89.82,-75.01,0,0,0,0
207,0,0,0,82.24,-63.06,0,0,0,0
208,0,0,0,83.08,-63.11,0,0,0,0
209,0,0,0,82.97,-65.6,0,0,0,0
210,0,0,0,81.47,-65.48,0,0,0,0
211,0,0,0,82.95,-65.62,0,0,0,0
212,0,0,0,82.84,-68.08,0,0,0,0
213,0,0,0,81.26,-67.98,0,0,0,0
214,0,0,0,81.49,-70.18,0,0,0,0
215,0,0,0,82.71,-70.29,0,0,0,0
216,0,0,0,82.54,-72.76,0,0,0,0
217,0,0,0,80.83,-72.62,0,0,0,0
218,0,0,0,82.53,-72.81,0,0,0,0
219,0,0,0,82.4,-75.26,0,0,0,0
220,0,0,0,80.64,-75.12,0,0,0,0
221,0,0,0,81,-77.23,0,0,0,0
222,0,0,0,82.24,-77.31,0,0,0,0
223,0,0,0,82.1,-79.82,0,0,0,0
224,0,0,0,80.29,-79.68,0,0,0,0
225,0,0,0,82.07,-79.86,0,0,0,0
226,0,0,0,81.93,-82.31,0,0,0,0
227,0,0,0,80.29,-82.18,0,0,0,0
228,0,0,0,80.26,-83.98,0,0,0,0
229,0,0,0,81.82,-84.09,0,0,0,0
230,0,0,0,81.71,-86.57,0,0,0,0
231,0,0,0,79.98,-86.47,0,0,0,0
232,0,0,0,81.67,-86.62,0,0,0,0
233,0,0,0,81.54,-89.05,0,0,0,0
234,0,0,0,80,-88.97,0,0,0,0
235,0,0,0,80.15,-91.3,0,0,0,0
236,0,0,0,81.6,-91.4,0,0,0,0
237,0,0,0,81.48,-93.88,0,0,0,0
238,0,0,0,80.02,-93.79,0,0,0,0
239,0,0,0,81.46,-93.9,0,0,0,0
240,0,0,0,81.33,-96.39,0,0,0,0
241,0,0,0,80.1,-96.31,0,0,0,0
242,0,0,0,80.86,-98.52,0,0,0,0
243,0,0,0,81.14,-98.54,0,0,0,0
244,0,0,0,81.03,-101.07,0,0,0,0
245,0,0,0,79.64,-101,0,0,0,0
246,0,0,0,81.01,-101.09,0,0,0,0
247,0,0,0,80.89,-103.56,0,0,0,0
248,0,0,0,80.1,-103.52,0,0,0,0
249,0,0,0,79.13,-106.26,0,0,0,0
250,0,0,0,80.66,-106.37,0,0,0,0
251,0,0,0,80.54,-108.84,0,0,0,0
252,0,0,0,79.01,-108.77,0,0,0,0
253,0,0,0,80.52,-108.87,0,0,0,0
254,0,0,0,80.4,-111.34,0,0,0,0
255,0,0,0,78.98,-111.24,0,0,0,0
256,0,0,0,78.44,-112.91,0,0,0,0
257,0,0,0,80.27,-113.03,0,0,0,0
258,0,0,0,80.1,-115.51,0,0,0,0
259,0,0,0,78.13,-115.42,0,0,0,0
260,0,0,0,80.07,-115.56,0,0,0,0
261,0,0,0,79.95,-118.03,0,0,0,0
262,0,0,0,68.17,-117.31,0,0,0,0
263,0,0,0,88.18,-99.56,0,0,0,0
264,0,0,0,87.32,-99.49,0,0,0,0
265,0,0,0,87.14,-102.01,0,0,0,0
266,0,0,0,88.27,-102.05,0,0,0,0
267,0,0,0,87.16,-102,0,0,0,0
268,0,0,0,86.99,-104.47,0,0,0,0
269,0,0,0,88.23,-104.54,0,0,0,0
270,0,0,0,88.09,-106.33,0,0,0,0
271,0,0,0,86.86,-106.24,0,0,0,0
272,0,0,0,86.71,-108.76,0,0,0,0
273,0,0,0,88.05,-108.82,0,0,0,0
274,0,0,0,86.72,-108.78,0,0,0,0
275,0,0,0,86.56,-111.27,0,0,0,0
276,0,0,0,87.75,-111.32,0,0,0,0
277,0,0,0,87.25,-113.89,0,0,0,0
278,0,0,0,86.39,-113.84,0,0,0,0
279,0,0,0,86.23,-116.34,0,0,0,0
280,0,0,0,87.46,-116.39,0,0,0,0
281,0,0,0,86.24,-116.35,0,0,0,0
282,0,0,0,86.1,-118.8,0,0,0,0
283,0,0,0,87.26,-118.87,0,0,0,0
284,0,0,0,87.32,-120.36,0,0,0,0
285,0,0,0,85.97,-120.29,0,0,0,0
286,0,0,0,85.84,-122.8,0,0,0,0
287,0,0,0,87.15,-122.86,0,0,0,0
288,0,0,0,85.86,-122.81,0,0,0,0
289,0,0,0,85.69,-125.27,0,0,0,0
290,0,0,0,86.89,-125.35,0,0,0,0
291,0,0,0,68.3,-126.97,0,0,0,0
292,0,0,0,68.4,-125.06,0,0,0,0
293,0,0,0,70.76,-125.18,0,0,0,0
294,0,0,0,70.74,-125.57,0,0,0,0
295,0,0,0,64.28,-127.21,0,0,0,0
296,0,0,0,64.41,-124.79,0,0,0,0
297,0,0,0,66.91,-124.94,0,0,0,0
298,0,0,0,66.8,-126.76,0,0,0,0
299,0,0,0,61.81,-126.47,0,0,0,0
300,0,0,0,61.9,-124.63,0,0,0,0
301,0,0,0,64.4,-124.79,0,0,0,0
302,0,0,0,56.63,-126.55,0,0,0,0
303,0,0,0,56.78,-124.31,0,0,0,0
304,0,0,0,59.26,-124.46,0,0,0,0
305,0,0,0,59.12,-126.75,0,0,0,0
306,0,0,0,51.28,-125.73,0,0,0,0
307,0,0,0,51.38,-124.05,0,0,0,0
308,0,0,0,53.87,-124.17,0,0,0,0
309,0,0,0,53.78,-125.98,0,0,0,0
310,0,0,0,46.22,-125.22,0,0,0,0
311,0,0,0,46.3,-123.73,0,0,0,0
312,0,0,0,48.82,-123.85,0,0,0,0
313,0,0,0,48.69,-125.86,0,0,0,0
314,0,0,0,43.74,-124.67,0,0,0,0
315,0,0,0,43.8,-123.57,0,0,0,0
316,0,0,0,46.25,-123.72,0,0,0,0
317,0,0,0,38.84,-124.57,0,0,0,0
318,0,0,0,38.94,-123.23,0,0,0,0
319,0,0,0,41.45,-123.41,0,0,0,0
320,0,0,0,41.34,-125.27,0,0,0,0
321,0,0,0,33.46,-124.35,0,0,0,0
322,0,0,0,33.54,-122.9,0,0,0,0
323,0,0,0,36.07,-123.04,0,0,0,0
324,0,0,0,35.98,-124.54,0,0,0,0
325,0,0,0,27.9,-123.91,0,0,0,0
326,0,0,0,27.96,-122.54,0,0,0,0
327,0,0,0,30.46,-122.7,0,0,0,0
328,0,0,0,30.39,-123.96,0,0,0,0
329,0,0,0,25.41,-123.85,0,0,0,0
330,0,0,0,25.49,-122.34,0,0,0,0
331,0,0,0,27.93,-122.51,0,0,0,0
332,0,0,0,21.83,-123.51,0,0,0,0
333,0,0,0,21.92,-122.13,0,0,0,0
334,0,0,0,24.41,-122.28,0,0,0,0
335,0,0,0,24.32,-123.61,0,0,0,0
336,0,0,0,26.17,-114.69,0,0,0,0
337,0,0,0,14.41,-113.91,0,0,0,0
338,0,0,0,14.55,-111.42,0,0,0,0
